name|reg|officials
Adams, Matthew John|670|Board of Supervisors
Addis-Mills, Jeremy|1034|Board of Supervisors, BOS Reps, District Atty., Assistant District Atty.. CAO, Director of Purchasing & Contracting
Alexander, John Scott|900|All Possible County Ofﬁces
Anaya, Pedro|898|BOS, Members of the Planning Commission, BOS Reps, Sheriffs Dept, Directors of Planning and Land Use. CAO & Asst. CAO
Anderson, Jason|950|Board of Supervisors
Anderson, Michel|737|Board of Supervisors
Arndt, Norman C.|834|Board of Supervisors
Auzenne, Keiara|969|Board of Supervisors, Sheriffs Dept., Chief Admin. Ofﬁcer, District Attorney
Avila, Paola|842|Board of Supervisors
Ayala, Jimmy|820|Board of Supervisors
Azevedo. Mary|825|Board of Supervisors
Backstrom, Margaret|959|San Diego County Treasurer-Tax Collector
Bader, Jenelle|1025|Board of Supervisor
Bailey. Linda|998|Board of Supervisors, Board of Supervisors' Staff, Planning Commission, PDS
Barnum, Bradford E.|732|Board of Supervisors
Bartell, Jim|664|Board of Supervisors
Beecher, Richard|1002|San Diego County Employees Retirement Association
Benedetto, Craig S.|507|All Possible County Ofﬁces
Berkman, Jack|1006|Board of Supervisors, Treasurer-Tax Collector
Borges, Peter|923|San Diego County Employees Retirement Association
Bowling. Dennis C.|731|Board of Supervisors, Planning Comm, PDS
Bowman-Styles, Molly|956|Board of Supervisors
Briggs. Lisa|848|Board of Supervisors
Brown, Christopher M.|782|Board of Supervisors
Brownell, Peter|976|808. BOS Reps. DA, Asst. DA Atty., CAO, Dir. of Purchasing & Contracting
Bryant III, John R.|983|San Diego County Employees Retirement System, Board of Supervisors
Burgoyne, James|964|San Diego County Employees Retirement Association
Burton, James E.|101|1 All Possible County Ofﬁces
Cameron, Rob|833|Board of Supervisors, PDS
Capretz, Nicole|1012|Board of Supervisors
Cason. Elizabeth|920|808, Members of Planning Commission, BOS Representatives & PDS
Chagala, James 862 Board of Supervisors.|305|Reps. PDS
Chase, Nancy M.|793|Board of Supervisors
Chavez, Jennifer|989|Board of Supervisors, Planning Commission, Dept. of Planning and Land Use
Chestnut, Edward|888|San Diego County Employees Retirement Association
Clay, Nicole|562|BOS, County Assessor/RecorderI’Clerk, Sheriff‘s Dept., Treasurer-Tax Collector, DA
Colosimo, Louis|947|San Diego County Employees Retirement Association
Contreras, Andrea M.|985|BOS, Members of Planning Commission, Director of Planning and Land Use
Cook, Jennifer|997|Board of Supervisors, Board of Supervisors' Staff, Planning Commission, PDS
Cordova, Jessica|981|BOS, BOS Reps., DA, Assistant DA, CAO, Director of Purchasing & Contracting
Cortes, Marco P010 861 Board of Supervisors, CAO, PDS, Purchasing|815|Contracting, General Services
Cowan, Ernest G.|872|Board of Supervisors
Crawford, Clare|974|BOS, BOS Reps., DA, Assistant DA, CAO, Director of Purchasing & Contracting
Crawford, Crystal|915|All Possible County Ofﬁces, BOS, CAO, BOS Reps.
Custar, Kristin|925|San Diego County Employees Retirement Association
Dadian, John M.|617|Board of Supervisors
De Llanos, Estela|1008|Board of Supervisors
Dempsey, Andrew|895|San Diego County Employees Retirement Association
Doi, Tamara|926|San Diego County Employee's Retirement Association
Dole, Rod|910|All Possible County Ofﬁces
Dooley-Sammuli, Margaret|932|Bomd of Supervisors, Sheriff‘s Department, Ofﬁce of the District Attorney. CAO
Dorne, David J.|819|Board of Supervisors
Eigner, William W.|854|Board of Supervisors
Ekard, Walter|995|All Possible County Ofﬁces, BOS, Sheriff‘s Department, DA. Assessor1 Recorder/Clerk, Treasurer-Tax Collector
Falcon, Clarissa Reyes|918|Board of Supervisors
Ferzoco, Andrea|1028|San Diego County Employee's Retirement Association
Fitts, Michael D.|800|Board of Supervisors, PDS, CAO, Asst. CAO, BOS Reps.
Forrest, Jeffrey W.|823|Board of Supervisors, Planning Comm., PDS, BOS Reps., Assessor/RecorderIClerk
Froeb, Charles|904|SDCERA
Gabrielson, Timothy W.|742|Board of Supervisors, PDS, Planning Comm, DPW
Galuppo, Louis A.|806|Board of Supervisors, Planning Comm, AAB, PDS, CAO, Chief Deputy Assessor
Garner, Keith|1029|Board of Supervisors, Planning Commission, Director of Planning and Land Use, BOS Reps., County Assessor
Garratt, Gregory C. M.|708|Board of Supervisors, PDS, CAO, Planning Comm. BOS Reps.
Garrett, Christopher|906|PDS, County Board of Supervisors, Planning Commission
George, Michael|889|San Diego County Employees Retirement Association
Goddard, John D., Jr.|693|Planning Comm, PDS, PERB
Greene, Kyra 980 BOS, BOS Reps., DA, Assistant DA, CAO, Director of Purchasing|135|Contracting
Gunther, Christopher|982|San Diego Employees Retirement System
Haase, Stephen|855|All Possible County Ofﬁces
Haddad, Benjamin A.|856|All Possible County Ofﬁces
Hale, Kimberly|802|Board of Supervisors. CAO, Sheriff's Department, PDS
Hamilton, Julie|860|Board of Supervisors
Hancock, Christopher Allan|1004|San Diego County Employees Retirement Association
Harris, Chad A.|667|Board of Supervisors, DPLU, BPZA, PERB, CAO, Asst. CAO, Board Reps.
Harris, Sondra M.|668|Board of Supervisors, DPLU, BPZA, PERB, CAO, Asst. CAO, Board Reps.
Haven, Sharon|873|Board of Supervisors
Higgins, Karl|698|Board of Supervisors, DPW, PDS, LUEG, County Airports
Hill, Christie|1036|Board of Supervisors, Sheri ff’ 5 Department, District Attorney, CAO
Hodges, Sherry|1009|Board of Supervisors, AssessorlRecorderlClerk
Holec, Monica|924|San Diego County Employees Retirement Association
Hollingworth, Tracy M.|589|Board of Supervisors, AssessorlRecorderlCIerk, DA, PDS, CAO, Planning Comm.
Hom, Dan|919|Board of Supervisors, Ofﬁce of Education
Hunter, Dennis|916|All Possible County Ofﬁces
Hunter, Ranie L.|832|Board of Supervisors, County Planning Dept.
J arratt, Summer|1020|SDCERA, County Treasurer—Tax Collector
Jenkin, Alison|907|All Possible County Ofﬁces
Jones, Darcy|614|BOS, CAO, PDS, DPW, BPZA, PERB, Planning Comm, LAFCO
Jones, Donna|711|BOS, Planning Comm, PDS, BOS Reps., Assessor/RecorderlClerk, Dir. of DPLU
Joseph, Ray|1015|County Treasurer—Tax Collector
Kahlen, Craig J.|755|DPLU, PERB, DPW, Planning Comm.
Kilkenny, Kim J.|676|Board of Supervisors
Kilkenny, Maddy|863|BOS, County Assessor/RecorderIClerk, Sheri ffs Dept., Treasurer-Tax Collector, DA, Public Health Ofﬁcials
Kirkland, Molly|893|Board of Supervisors, County AssessorlRecorderlClerk, Treasurer-Tax Collector
Kuper, Jennifer|999|Sheriff‘s Dept., Probation Dept., DAO, PDO, BOS, BHS, CAO, HHSA, PHS, DPC, SIA. CWS, OBS, DGS
K1112, Daniel|958|San Diego County Treasurer—Tax Collector
Langer, Stefanie|953|San Diego County Employees Retirement Association
Lantry, James|741|Board of Supervisors, CAO, Asst. CAO, APCD, Sheriff‘s Department
Larson, Eric|701|Board of Supervisors, CAO, Asst. CAO, PDS, Planning Comm.
Latter, Gordon|1030|San Diego County Employees Retirement Association
Le, Amanda|1021|BOS, Sherist Department, Ofﬁce of the District Attorney, CAO
Le, Trinh|975|BOS, BOS Reps., DA, Assistant DA, CAO, Director of Purchasing & Contracting
Ledford, Richard S.|774|Board of Supervisors, Treasurer-Tax Collector
Lemyre, Mike|909|A11 Possible County Ofﬁces
Loy, David|993|Board of Supervisors, Sheriffs Department, Ofﬁce of the District Attorney, CAO
Lutar, Ildiko (Lani)|798|Board of Supervisors, All possible County Ofﬁces
Madaffer, Jim|908|Board of Supervisors, PDS & CAO
Madaffer, Robin|894|Board of Supervisors
Majewski, Thomas|1027|BOS, Chief Investment Ofﬁcer, San Diego County Employees Retirement System
